service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
26ETEB-02-Semaine-22,1,1,1,1,1,0,0,20260708,20260821
25NOVPVSB-02-Semaine-24,1,1,1,1,1,0,0,20260824,20260828
26ETEB-02-Samedi-22,0,0,0,0,0,1,0,20260718,20260822
26ETEB-02-Dimanche-22,0,0,0,0,0,0,1,20260719,20260823
26ETEAFF-18-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-18-Samedi-00,0,0,0,0,0,1,0,20260711,20260829
26ETEAFF-60-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-60-Samedi-00,0,0,0,0,0,1,0,20260711,20260829
26ETEAFF-67-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-67-Samedi-00,0,0,0,0,0,1,0,20260711,20260829
26ETEAFF-71-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-72-Semaine-01,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-72-Samedi-01,0,0,0,0,0,1,0,20260711,20260829
26ETEAFF-72-Dimanche-01,0,0,0,0,0,0,1,20260712,20260830
26ETEAFF-73-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-74-Semaine-00,1,1,1,1,1,0,0,20260708,20260828
26ETEAFF-74-Samedi-00,0,0,0,0,0,1,0,20260711,20260829
26ETEAFF-74-Dimanche-00,0,0,0,0,0,0,1,20260712,20260830
26SEPPVSAF-75-Semaine-00,1,1,1,1,1,0,0,20260824,20261231
26ETEAFF-75-Semaine-00,1,1,1,1,1,0,0,20260708,20260821
26ETEAFF-75-Samedi-00,0,0,0,0,0,1,0,20260711,20260822
26SEPTAFF-75-Samedi-00,0,0,0,0,0,1,0,20260829,20270102
26SEPTAFF-75-Dimanche-00,0,0,0,0,0,0,1,20260830,20270103
26ETEAFF-75-Dimanche-00,0,0,0,0,0,0,1,20260712,20260823
26SEPTAFF-75-L-Ma-J-V-00,1,1,0,1,1,0,0,20260831,20270104
26SEPTAFF-75-Mercredi-00,0,0,1,0,0,0,0,20260902,20261216
26ETEB-87-Semaine-15,1,1,1,1,1,0,0,20260715,20260723
26ETEB-88-Semaine-24,1,1,1,1,1,0,0,20260724,20260724
26ETEB-89-Dimanche-14,0,0,0,0,0,0,1,20260714,20260714
26ETEB-94-Samedi-25,0,0,0,0,0,1,0,20260725,20260725
