leg_group_id,network_id,from_area_id,to_area_id,from_timeframe_group_id,to_timeframe_group_id,fare_product_id
aller_simple,CTS,,,,,aller_simple_bus
aller_simple,CTS,,,,,aller_simple
aller_simple,CTS,,,,,aller_simple_2
aller_simple,CTS,,,,,aller_simple_10
aller_simple,CTS,,,,,aller_simple_30
aller_simple,CTS,,,,,aller_simple_10_tr
journalier,CTS,,,,,24H
journalier,CTS,,,,,24H_trio
72h,CTS,,,,,72H
gratuit_enfants_moins_4,CTS,,,,,gratuit
abonnement,CTS,,,,,gratuit_ems
abonnement,CTS,,,,,abonnement_4_17
abonnement,CTS,,,,,abonnement_18_25
abonnement,CTS,,,,,abonnement_26_64
abonnement,CTS,,,,,abonnement_plus_65_ans
abonnement,CTS,,,,,abonnement_pmr
abonnement,CTS,,,,,abonnement_4_17_qf1
abonnement,CTS,,,,,abonnement_18_25_qf1
abonnement,CTS,,,,,abonnement_26_64_qf1
abonnement,CTS,,,,,abonnement_plus_65_ans_qf1
abonnement,CTS,,,,,abonnement_4_17_qf2
abonnement,CTS,,,,,abonnement_18_25_qf2
abonnement,CTS,,,,,abonnement_26_64_qf2
abonnement,CTS,,,,,abonnement_plus_65_ans_qf2
abonnement,CTS,,,,,abonnement_4_17_qf3
abonnement,CTS,,,,,abonnement_18_25_qf3
abonnement,CTS,,,,,abonnement_26_64_qf3
abonnement,CTS,,,,,abonnement_plus_65_ans_qf3
